# Kept-COMDAT exile bodies - the legitimate-interleave class of tu_order_check.
#
# Each row is a function body that our tree homes with its CLASS (an RVA() pin in
# owner_unit's .cpp, per the class-homing convention), but whose RETAIL copy is a
# multi-defined COMDAT (header-inline / compiler-adjacent member) that link.exe
# 5.10 KEPT from the FIRST obj on the link line that defined it - so its retail
# address lies inside host_unit's contiguous contribution, not the owner's.
# Mechanism + probes: docs/link-text-layout.md. These bodies are EXCLUDED from
# the tu_order_check contiguity spans and counted explicitly by the gate.
#
# A row is EVIDENCE-GATED: inline shape (trivial body / accessor / ctor / dtor /
# ??_G-adjacent), placement at the host's run or seam (verified by the gate,
# +/-0x1800 slack), and a host that plausibly includes the owner's header. A row
# that stops verifying (owner pin moved, host span moved away) fails the audit -
# fix or delete the row, never widen the slack.
#
# rva	owner_unit	host_unit	name	evidence
# --- MenuPage.obj tail group: CMenuItem/CMenuItem2 inline members (worked example in docs/link-text-layout.md)
0x00184610	MenuItem	MenuPage	CMenuItem::GetUpName	32B CString getter; in MenuPage tail group 0x1845b0-0x1848aa with unpinned GetName/GetLeftName/GetRightName siblings
0x00184630	MenuItem	MenuPage	CMenuItem::GetDownName	32B CString getter; same group
0x00184650	MenuItem	MenuPage	CMenuItem::Disable	10B setter; same group
0x00184660	MenuItem	MenuPage	CMenuItem::OnInit	3B ret-0 stub; same group
0x00184780	MenuItem	MenuPage	CMenuItem2::Disable	23B; same group
0x001847a0	MenuItem	MenuPage	CMenuItem2::SetFrame	10B setter; same group
0x001847b0	MenuItem	MenuPage	CMenuItem2::OnInit	6B stub; same group
0x001847e0	MenuItem	MenuPage	CMenuItem2::~CMenuItem2	adjacent to unpinned ??_GCMenuItem2 0x1847c0; same group
0x00184890	MenuItem	MenuPage	CMenuItem2::Reset	26B; same group (CMenuItem::Reset 0x184730 unpinned sibling)
# --- GruntCombat.obj mid-run group 0x58b60-0x58f6c (proven realization group, docs/tu-partition-brief.md)
0x00058b60	WwdGeometryApply	GruntCombat	CWwdGameObjectA::ApplyGeometryDirect	45B inline; inside GruntCombat's proven COMDAT group
0x00058bc0	MotionState	GruntCombat	CMotionState::SetParams	161B inline init; same group
0x00058ca0	MotionState	GruntCombat	CMotionState::SetZ	25B setter; same group
