# Compiler-generated DATA with no reachable source spelling, in two classes:
#   common  a COFF COMMON cl emits from a header-inline's function-local static
#           (DATA() is main-file-only) or its ??_B dynamic-init guard byte (no
#           source spelling at all). No owning TU exists - cl emits a copy into
#           every instantiating TU and the linker merges them - so only the
#           retail address is stated; owner documents the emitting header inline.
#           Everything else is re-proven against the base objs' COMMON tables
#           every build (gruntz.audit.compgen_data).
#   copy    a reviewed per-TU copy of a header static (the GruntDirStatics
#           device, docs/data-attribution.md): owner is the emitting TU, decided
#           by its $E static initializer's position. Several rows may share one
#           rva (each TU's copy folds onto the same retail byte).
# labels.py folds both classes into build/gen/symbol_names.csv.
rva	size	name	owner	class
0x001f0868	0x8	$T2033768	fadereffects	copy
0x0022a268	0x1	_$S58$S	actionarea	copy
0x0022a270	0xc	?s_gruntDirEast_22a270@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a280	0xc	?s_gruntDirNorth_22a280@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a290	0xc	?s_gruntDirSouth_22a290@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a2a0	0xc	?s_gruntDirWest_22a2a0@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a2b0	0xc	?s_gruntDirNorthEast_22a2b0@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a2c0	0xc	?s_gruntDirNorthWest_22a2c0@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a2d0	0xc	?s_gruntDirSouthEast_22a2d0@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a308	0xc	?s_gruntDirCenter_22a308@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a318	0xc	?s_gruntDirSouthWest_22a318@@3UGruntDirectionCell@@A	actionarea	copy
0x0022a34c	0x1	??_C@_00A@?$AA@	netmgrerror	copy
0x0022a34c	0x1	??_C@_00A@?$AA@	zutil	copy
0x0022a350	0xc	?s_gruntDirEast_22a350@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a360	0xc	?s_gruntDirNorth_22a360@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a370	0xc	?s_gruntDirSouth_22a370@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a380	0xc	?s_gruntDirWest_22a380@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a390	0xc	?s_gruntDirNorthEast_22a390@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a3a0	0xc	?s_gruntDirNorthWest_22a3a0@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a3b0	0xc	?s_gruntDirSouthEast_22a3b0@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a3c0	0xc	?s_gruntDirCenter_22a3c0@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a3d0	0xc	?s_gruntDirSouthWest_22a3d0@@3UGruntDirectionCell@@A	actionoptionsmenubar	copy
0x0022a3f8	0xc	?s_gruntDirEast_22a3f8@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a408	0xc	?s_gruntDirNorth_22a408@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a418	0xc	?s_gruntDirSouth_22a418@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a428	0xc	?s_gruntDirWest_22a428@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a438	0xc	?s_gruntDirNorthEast_22a438@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
0x0022a448	0xc	?s_gruntDirNorthWest_22a448@@3UGruntDirectionCell@@A	gameobjectlogictypes	copy
