key	fingerprint	disposition	evidence
emission:??1CAmbientPosSound@@UAE@XZ	6f7c14e4981e7ad2390f706ab8eb32c031df9941487d838167ec5c346c36e237	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CDDrawFrontSurface@@UAE@XZ	e327eced136ac14502f155e025aad17f34c088255d524ccccc4070cbef66a92b	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see https://github.com/sushi-shi/gruntz-decomp/blob/b27b05deb249e4cacbb29f55f17b469ecfe56f26/docs/patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawOverlaySurface@@UAE@XZ	1dea1d77bfd99054c18636025eb31885dba7c08b5c6ef0c32ded806f6fe2c92b	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see https://github.com/sushi-shi/gruntz-decomp/blob/b27b05deb249e4cacbb29f55f17b469ecfe56f26/docs/patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawPrimarySurface@@UAE@XZ	88ddfb3aa282259564bf0ecd71644afea61b49952e4baa15b167bf9a8261dde9	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see https://github.com/sushi-shi/gruntz-decomp/blob/b27b05deb249e4cacbb29f55f17b469ecfe56f26/docs/patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawZBufferSurface@@UAE@XZ	f4b1f42ba8526e7a2507914a602ae363d5da5e8528a1c29c94183ffd12c70944	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see https://github.com/sushi-shi/gruntz-decomp/blob/b27b05deb249e4cacbb29f55f17b469ecfe56f26/docs/patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CFileImageSurface@@UAE@XZ	bc6534824e5e1694f42b14b84f53074bc608313a26cb999834764b7ad691ec25	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see https://github.com/sushi-shi/gruntz-decomp/blob/b27b05deb249e4cacbb29f55f17b469ecfe56f26/docs/patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CMovingLogic@@UAE@XZ	449495a03e3cb6512b4ed5c4dfee02514e68f352656a11c142898f1209c746c3	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CRandomAmbientSound@@UAE@XZ	1eae4d419b6db9e57add7307b6868bc68d0c1960c3a32a4ac7fe059cd1350ed6	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CRectTileImageSet@@UAE@XZ	353d5ae4cb481b58af8204e72a7dd9b65fe83c8d3db88d37ec60d69b8c69f848	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CRezItmChunkList@CRezMgr@@QAE@XZ	a43dbbb6329bb72a3c45d196a17163496b5410e226d44750de7e08b49fb21461	recovered-implicit	Pinned 845119c libs/rezmgr/rezmgr.h declares the concrete nested CRezItmChunkList without a destructor. Removed the reconstruction-only empty declaration; CLTBaseList teardown naturally emits the same one-byte body. Class identity remains the source-proven concrete owner.
emission:??1CUniformTileImageSet@@UAE@XZ	9f0c932723d4750512779ff58d2d8239f132522a63e87b45fa809b1cc5d1bf6d	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CWwdGridIter@@UAE@XZ	7f457a82c4453c905ad3af397322156697af94ce0d898665ffae988803435541	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
emission:??1CWwdGridShell@@UAE@XZ	12fb458ab3467788d264db36be0549301acaf78a3bc02a4dc724ebe5c11bbd08	recovered-implicit	Removed the unnecessary empty derived declaration. The complete generated body and normalized ordered referents match retail in the current build; the base/member cleanup and existing emitting-TU pin remain. See constructor-lifetime-cleanup.md and the real-TU negative control retaining CUserLogic teardown.
