key	fingerprint	disposition	evidence
emission:??1CDDrawFrontSurface@@UAE@XZ	e327eced136ac14502f155e025aad17f34c088255d524ccccc4070cbef66a92b	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawOverlaySurface@@UAE@XZ	1dea1d77bfd99054c18636025eb31885dba7c08b5c6ef0c32ded806f6fe2c92b	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawPrimarySurface@@UAE@XZ	88ddfb3aa282259564bf0ecd71644afea61b49952e4baa15b167bf9a8261dde9	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CDDrawZBufferSurface@@UAE@XZ	f4b1f42ba8526e7a2507914a602ae363d5da5e8528a1c29c94183ffd12c70944	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CFileImageSurface@@UAE@XZ	bc6534824e5e1694f42b14b84f53074bc608313a26cb999834764b7ad691ec25	recovered-implicit	Removed the manual destructor declaration and body. Actual VC5 implicit bodies and ordered symbolic relocations equal the authored control; all retain the retail base cleanup and base vptr. Full-build score remains 100; see patterns/empty-special-member-calls-and-vptr-stores.md.
emission:??1CRezItmChunkList@CRezMgr@@QAE@XZ	a43dbbb6329bb72a3c45d196a17163496b5410e226d44750de7e08b49fb21461	recovered-implicit	Pinned 845119c libs/rezmgr/rezmgr.h declares the concrete nested CRezItmChunkList without a destructor. Removed the reconstruction-only empty declaration; CLTBaseList teardown naturally emits the same one-byte body. Class identity remains the source-proven concrete owner.
method:c:@FT@>1#TMapLookup#&$@S@CMapPtrToPtr#*v#&*t0.0#I#	efa709e287b8956f12e04beeaa4d0c48347ffbc45952e54e0775042a82395ac6	open-model-conflict	Retail constructor stores and real VC5 controls distinguish native MFC storage from the derived SDK template. Keep the demonstrated native output-reference ABI and existing inline boundary; the original free-helper name/template origin is not established. See patterns/native-mfc-map-identity-precedes-typed-adapters.md.
method:c:@FT@>1#TMapLookup#&$@S@CMapStringToPtr#*1C#&*t0.0#I#	48d5b2dcd8cf3951f3960c00c3aa7ed595c05c5e5e3e84f85fca4aa8aeabe8ce	open-model-conflict	Retail constructor stores and real VC5 controls distinguish native MFC storage from the derived SDK template. Keep the demonstrated native output-reference ABI and existing inline boundary; the original free-helper name/template origin is not established. See patterns/native-mfc-map-identity-precedes-typed-adapters.md.
method:c:@FT@>1#TMapLookupById#&$@S@CMapPtrToPtr#I#&*t0.0#I#	b15264cb9145e9bd5e43f0de4377d105f9467a3746f94757fd1dc8b2069b4e8b	open-model-conflict	Retail constructor stores and real VC5 controls distinguish native MFC storage from the derived SDK template. Keep the demonstrated native output-reference ABI and existing inline boundary; the original free-helper name/template origin is not established. See patterns/native-mfc-map-identity-precedes-typed-adapters.md.
method:c:@FT@>2#T#TMapGetNext#&$@S@CMapPtrToPtr#&*$@S@__POSITION#&t0.0#&*t0.1#v#	755dc3aa94956a35412604a5c61435723e7f71c8cea060cac6db8663892ce038	open-model-conflict	Retail constructor stores and real VC5 controls distinguish native MFC storage from the derived SDK template. Keep the demonstrated native output-reference ABI and existing inline boundary; the original free-helper name/template origin is not established. See patterns/native-mfc-map-identity-precedes-typed-adapters.md.
method:c:@FT@>2#T#TMapGetNext#&$@S@CMapStringToPtr#&*$@S@__POSITION#&t0.0#&*t0.1#v#	6d860965e3304a20f79d17f34ebd4d216e74f4c112ae0a75cb1f0e03973889f1	open-model-conflict	Retail constructor stores and real VC5 controls distinguish native MFC storage from the derived SDK template. Keep the demonstrated native output-reference ABI and existing inline boundary; the original free-helper name/template origin is not established. See patterns/native-mfc-map-identity-precedes-typed-adapters.md.
method:c:@S@CBattlezDlgCustom@F@CBattlezDlgCustom#*$@S@CWnd#	2154df8264930b1d621d1d40d6bede68ff68c24665cf5d9025eac1398ce64635	retained-authored	The CWnd* parameter forwards to CDialog with dialog resource 0xc3; the retail push/call sequence and ret 4 preserve that authored initializer. An implicit default constructor cannot supply this parameterized resource-selection API.
method:c:@S@CButeMgr@F@~CButeMgr#	233ba5748fecc44e48cb1fa78be91e48399b1fd4e47101feab34b7c7f87ce782	retained-authored	Pinned NOLF butemgr.h Git blob 46d9df3db82e91d8e13d706159e7058ed5509ea8 explicitly declares ~CButeMgr() { }; lineage ID nolf-butemgr-header-file owns this source family. Keep the authored empty declaration over its typed member cleanup.
method:c:@S@CCheckpointDlg@F@CCheckpointDlg#*$@S@CWnd#	c9499dfdfe63e8160203fa1d39f173e0e1d58c1d95806ef25ce7a36d535c68db	retained-authored	The CWnd* parameter forwards to CDialog with dialog resource 0xcd; the retail push/call sequence and ret 4 preserve that authored initializer. An implicit default constructor cannot supply this parameterized resource-selection API.
method:c:@S@CCheckpointTriggerSwitchLogic@F@CCheckpointTriggerSwitchLogic#	0c691640e91feefcecac84e59ab80f528bcb1f15cccb33365846ce337538c08b	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CCoveredPowerup@F@CCoveredPowerup#*$@S@CGameObject#	fca49d6bf7b5e55aaf8a1ceb9218bdeae510ffa5359e33add4a7c2b4d93b9f39	retained-authored	The CGameObject* constructor forwards its object argument to CTileTrigger; the 25-byte retail body includes that argument and the derived vptr. This is an authored parameterized overload, not an implicit default or copy constructor.
method:c:@S@CCoveredPowerupLogic@F@CCoveredPowerupLogic#	d1896182a7d24a0343334c5b57301c8b211dc558e5b32e326917e5856a1361a5	retained-authored	Empty-special-member constructor control: omitting these declarations and bodies removes all nine constructor symbols and references from tileswitchlogic and tiletriggercontainer; decoded retail factories at 0x115f60/0x116610/0x116cf0/0x117800 retain 18 calls through verified thunks. Keep the authored out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CCryptMgr@F@CCryptMgr#	3355890d4ecdf3d730191621056e8b2beed31c3b06ee32ada3a02996817332cd	retained-authored	The complete authored CCryptMgr constructor/destructor family is governed by lineage ID crypt-authentic-family. Preserve the source-proven empty methods and the char* overload rather than inferring implicit generation from the 3-byte/1-byte bodies.
method:c:@S@CCryptMgr@F@~CCryptMgr#	3355890d4ecdf3d730191621056e8b2beed31c3b06ee32ada3a02996817332cd	retained-authored	The complete authored CCryptMgr constructor/destructor family is governed by lineage ID crypt-authentic-family. Preserve the source-proven empty methods and the char* overload rather than inferring implicit generation from the 3-byte/1-byte bodies.
method:c:@S@CFaderMesh@F@CFaderMesh#	5c549341771f614bd6b901a0854e7a7396ba62fc62d43b7d4c03a67216b7b2bd	retained-authored	Implicit-constructor control removes this definition and every reference from the seven real owner/caller objects; retail call at 0x17e072 reaches this constructor. Keep the authored empty out-of-line boundary; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CFaderMesh@F@~CFaderMesh#	417e92969a185b95e9ed9045ff2ef60254c33beb73b481e5c0887452896487f5	retained-authored	Real-TU omission control shrinks 107 bytes to 101 by removing the derived-vptr store present in retail. Restored the authored empty destructor; see patterns/empty-special-member-calls-and-vptr-stores.md.
method:c:@S@CFaderSine@F@~CFaderSine#	751ad507f317c2efefa96c2602c657fbf560a0504b48faf32ff618c76a26bdeb	retained-authored	Real-TU omission control shrinks 11 bytes to 5 by removing the derived-vptr store present in retail. Restored the authored empty destructor; see patterns/empty-special-member-calls-and-vptr-stores.md.
